Year,Value,Units
2018,47300,Zubau in kWp seit 1993
2019,3044,Zubau in kWp
2020,3625,Zubau in kWp
2021,4433,Zubau in kWp
2022,4812,Zubau in kWp
2023,5915,Zubau in kWp
2023,69128,kWp Gesamt
