Year,Region,Value
2012,Bayern,70.55
2012,Ingolstadt,41.03
2013,Bayern,76.15
2013,Ingolstadt,47.33
2014,Bayern,60.3
2014,Ingolstadt,30.48
2015,Bayern,87.55
2015,Ingolstadt,55.82
2016,Bayern,83.76
2016,Ingolstadt,50.69
2017,Bayern,75.21
2017,Ingolstadt,42.63
2018,Bayern,100.93
2018,Ingolstadt,67.91
2019,Bayern,69.66
2019,Ingolstadt,38.47
2020,Bayern,66.55
2020,Ingolstadt,36.06
2021,Bayern,48.33
2021,Ingolstadt,20.19
