Year,Region,Value
2019,Ingolstadt,727
2019,Bayern,617
2020,Ingolstadt,705
2020,Bayern,622
2021,Ingolstadt,696
2021,Bayern,624
2022,Ingolstadt,694
2022,Bayern,633
2023,Ingolstadt,721
2023,Bayern,635
2024,Ingolstadt,716
2024,Bayern,635
