Year,Region,Value
2022,Ingolstadt,0.19
2022,Regensburg,0.21
2022,München,0.6
2023,Ingolstadt,0.36
2023,Regensburg,0.42
2023,München,0.71
2024,Ingolstadt,0.43
2024,Regensburg,0.35
2024,München,0.72
