Year,kWp,Value
2018,Zubau 1993 bis 2018,47300.0
2019,Zubau ab 2019,3044.0
2020,Zubau ab 2019,3625.0
2021,Zubau ab 2019,4433.0
2022,Zubau ab 2019,4812.0
2023,Zubau ab 2019,5915.0
2023,Gesamtleistung Ingolstadt,69128.0
2023,Gesamtleistung städtische Anlagen,874.6
