Year,Einrichtung,Value
2019,Gesamt,10636
2019,THI,5828
2019,KU,4808
2020,Gesamt,10881
2020,THI,6026
2020,KU,4855
2021,Gesamt,11380
2021,THI,5033
2021,KU,5033
2022,Gesamt,11874
2022,THI,4987
2022,KU,4987
