Value,Disaggregation combinations using this value,Number of indicators
energetische Sanierung,1,1
Erneuerbare Energien,1,1
Geldanlagen mit Nachhaltigkeitskriterien,1,1
Neubauten mit Nachhaltigkeitszertifizierungen,1,1
