Value,Disaggregation combinations using this value,Number of indicators
gesamt,1,1
Institutionelle Förderung,1,1
kirchliche Büchereien,1,1
kirchliche Einrichtungen,1,1
Mietzuschüsse,1,1
Projektförderung,1,1
Trachtenvereine,1,1
