Value,Disaggregation combinations using this value,Number of indicators
Beamte über 3 Monate,1,1
Beamte über 6 Wochen,1,1
Tarifbeschäftigte über 3 Monate,1,1
Tarifbeschäftigte über 6 Wochen,1,1
