Value,Disaggregation combinations using this value,Number of indicators
gesamt,2,2
Integrationsbeauftragte,1,1
KU - ausländische Studierende,1,1
KU - deutsche Studierende,1,1
Kulturamt,1,1
Stadtbücherei,1,1
THI - ausländische Studierende,1,1
THI - deutsche Studierende,1,1
VHS,1,1
