Value,Disaggregation combinations using this value,Number of indicators
Biomasse in kW,1,1
Biomasse in kW/EW,1,1
Gesamt in kW,1,1
Gesamt in kW/EW,1,1
Photovoltaik in kW,1,1
Photovoltaik in kW/EW,1,1
Wasserkraft in kW,1,1
Wasserkraft in kW/EW,1,1
