Value,Disaggregation combinations using this value,Number of indicators
Ampeln mit Sensoren,1,1
Ampeln teilausgestattet mit Sensoren,1,1
Blindenleitsysteme,1,1
Bushaltestellen DFI inkl. akustische Ansagen,1,1
Bushaltestellen taktile Ausstattung,1,1
Eltern-Kind-Parkplätze,1,1
gesamt barrierefreie Parkplätze,1,1
städtische barrierefreie Parkplätze,1,1
