Value,Disaggregation combinations using this value,Number of indicators
Altholz,1,1
Bauschutt,1,1
Biomüll,1,1
Elektrogeräte,1,1
Flaschenglas,1,1
gelber Sack,1,1
gesamt,1,1
Grüngut,1,1
Metallschrott,1,1
Papier,1,1
Restmüll,1,1
Sperrmüll,1,1
Textilien,1,1
