Value,Disaggregation combinations using this value,Number of indicators
alle Zielgruppen,1,1
speziell für Eltern und Familie,1,1
speziell für Kinder und Jugendliche,1,1
speziell für Menschen mit Behinderung,1,1
speziell für Senioren,1,1
