Value,Disaggregation combinations using this value,Number of indicators
Deutsch,1,1
EU/EWR-Bürger,1,1
Gesamt,1,1
gesamt,1,1
Mit Migrationshintegrund,1,1
Mit Migrationshintergrund,1,1
mit Migrationshintergrund,1,1
Nicht-Deutsch,1,1
Nicht-EU-Bürger,1,1
Ohne Migrationshintergrund,2,2
ohne Migrationshintergrund,1,1
