Value,Disaggregation combinations using this value,Number of indicators
BZA-Sitzungen,1,1
Bürgerumfragen,1,1
Bürgerversammlungen,1,1
Gesamt,1,1
Infoveranstaltungen,1,1
Kinder- und Jugendversammlungen,1,1
Landesgartenschau,1,1
OB Bürgersprechstunde,1,1
OB im BZA,1,1
sonstige Bürgerbeteiligung,1,1
