Year,Region,Value
2019,Ingolstadt,0.11
2019,Deutschland,7.8
2020,Ingolstadt,0.12
2020,Bayern,12.2
2020,Deutschland,9.6
2021,Ingolstadt,0.13
2021,Deutschland,9.7
2022,Ingolstadt,0.13
2022,Deutschland,9.8
2023,Ingolstadt,0.14
2023,Bayern,13.7
2023,Deutschland,11.2
2024,Ingolstadt,0.14
