Year,Value,Units
2019,29912.0,Weggeworfen in t
2020,31910.0,Weggeworfen in t
2021,32356.0,Weggeworfen in t
2022,30401.0,Weggeworfen in t
2023,30823.0,Weggeworfen in t
2022,97.0,Gerettet in t
2023,286.0,Gerettet in t
2022,0.32,Gerettet anteilig in %
2023,0.93,Gerettet anteilig in %
