Year,Flächenart,Value
2019,Siedlungs- und Verkehrsfläche,358.1
2019,Vegetation,565.4
2020,Siedlungs- und Verkehrsfläche,360.9
2020,Vegetation,565.7
2021,Siedlungs- und Verkehrsfläche,354.2
2021,Vegetation,565.2
2022,Siedlungs- und Verkehrsfläche,347.5
2022,Vegetation,552.2
2023,Siedlungs- und Verkehrsfläche,345.3
2023,Vegetation,546.5
2024,Siedlungs- und Verkehrsfläche,341.8
2024,Vegetation,538.8
