Year,Region,Value
2009,Bayern,4.0
2009,Ingolstadt,4.89
2012,Bayern,4.01
2012,Ingolstadt,4.88
2015,Bayern,4.02
2015,Ingolstadt,4.89
2018,Bayern,4.02
2018,Ingolstadt,4.89
