Year,Region,Value
2021,Ingolstadt,28.63
2021,Bayern,54.5
2021,Bund,53.28
2022,Ingolstadt,97.3
2022,Bayern,78.7
2022,Bund,79.2
2023,Ingolstadt,98.82
2023,Bayern,88.58
2023,Bund,90.04
2024,Ingolstadt,99.15
2024,Bayern,92.59
2024,Bund,93.82
