Year,Einrichtung,Value
2019,THI,19.0
2019,KU,10.2
2020,THI,20.0
2020,KU,11.6
2021,THI,24.0
2021,KU,13.4
2022,THI,27.0
2022,KU,14.1
2023,THI,31.0
2023,KU,16.0
