Year,Region,Value
2021,Ingolstadt,88
2021,Eichstätt,51
2021,Neuburg-Schrobenhausen,49
2021,Pfaffenhofen an der Ilm,57
2023,Ingolstadt,88
2023,Eichstätt,56
2023,Neuburg-Schrobenhausen,47
2023,Pfaffenhofen an der Ilm,57
