Year,Region,Value
2019,Ingolstadt,68.0
2019,Bayern,64.6
2019,Deutschland,61.7
2020,Ingolstadt,67.6
2020,Bayern,64.0
2020,Deutschland,61.2
2021,Ingolstadt,68.0
2021,Bayern,65.1
2021,Deutschland,62.4
2022,Ingolstadt,67.6
2022,Bayern,65.1
2022,Deutschland,62.3
2023,Ingolstadt,67.7
2023,Bayern,65.5
2023,Deutschland,62.4
